ym	x	y	obj	city	dist	road	saledays	price	unit	size	main	land	low	high	floor	type	room	age	park
202301	121.4772601	24.9984711	29346852	新北市	中和區	民利街	57	1200	50	24.01	22.12	6.06	3	3	5	公寓	3	38	無
202301	121.5030706	24.9493959	29346849	新北市	新店區	黎明路	57	1580	26.2	60.28	45.86	25.29			2	透天厝	4	32	9.45坪，平面式，已含售金內
202301	121.4854811	25.0011995	29346842	新北市	中和區	中正路	57	2650	42.4	62.44	0	0	16	16	27	電梯大樓	4	23	有
202301	121.4452719	25.0899591	29346252	新北市	五股區	新城八路	58	2288	44.3	51.67	26.95	0	15	15	15	電梯大樓	4	7	5.67坪，平面式，已含售金內
202301	121.4843308	24.9946758	29345937	新北市	中和區	中正路	58	3480	55.9	62.29	39.08	5	6	6	11	電梯大樓	4	31	11.93坪，機械式，已含售金內
202301	121.4458443	25.0307682	29345936	新北市	新莊區	豐年街	58	2680	84.7	31.64	31.64	24.5			2	透天厝	7	54	無
202301	121.4831924	25.068593	29345618	新北市	三重區	忠孝路	58	1328	48.2	27.53	23.59	0	4	4	5	公寓	3	41	無
202301	121.6414597	25.0661926	29345616	新北市	汐止區	樟樹一路	58	1060	35.5	29.9	27.69	0	3	3	5	公寓	3	36	無
202301	121.4578363	25.1903652	29345601	新北市	淡水區	後州路	58	1680	25.2	66.69	37.4	11.823	12	12	13	電梯大樓	4	12	5.451坪，平面式，已含售金內
202301	121.4820573	25.0857603	29345599	新北市	蘆洲區	集賢路	58	3850	57.5	67	35.13	7.72	4	4	18	電梯大樓	4	9	10.56坪，平面式，已含售金內
202301	121.4327698	25.002454	29350067	新北市	新莊區	新樹路	57	1988	43.5	45.66	20.9	0	12	12	15	電梯大樓	4	0.6	有
202301	121.4528559	25.1294249	29350065	新北市	八里區	龍米路	57	1288	30.1	42.76	20.87	0	9	9	29	電梯大樓	2	14	6.02坪，機械式，已含售金內
202301	121.4726677	25.0887339	29350064	新北市	蘆洲區	水湳街	57	2670	54.9	48.61	35.75	0	2	2	7	電梯大樓	4	23	無
202301	121.4628361	25.0117711	29350059	新北市	板橋區	新府路	57	2280	64.9	35.11	14.96	2.27	20	20	24	電梯大樓	2	13	8.47坪，平面式，已含售金內
202301	121.4293632	25.0514945	29350043	新北市	泰山區	民生路	57	888	40.4	22	20.72	0	4	4	4	公寓	0	44	無
202301	121.4731903	25.0313911	29350038	新北市	板橋區	文化路	57	3388	88.5	38.27	21.52	3.67	4	4	21	電梯大樓	3	12	7.25坪，平面式，已含售金內
202301	121.3603464	25.0672943	29350008	新北市	林口區	文化三路	57	1228	51.9	23.65	14.02	3.88	2	2	13	電梯大樓	2	0	無
202301	121.4432013	25.1519853	29350003	新北市	八里區	龍米路	57	880	25.7	34.27	27.87	4.661	10	10	12	電梯大樓	3	26	無
202301	121.4194664	25.1849798	29349994	新北市	淡水區	淡海路	57	858	29.4	29.2	23.72	0	9	9	12	電梯大樓	3	28	無
202301	121.4540138	25.0070664	29349987	新北市	板橋區	南雅西路	57	1568	78.1	20.08	12.55	0	19	19	24	電梯大樓	2	0.2	無
202301	121.3625223	24.9393536	29349982	新北市	三峽區	復興路	57	485	44.1	11	0	0	12	12	15	電梯大樓	1	27	無
202301	121.367673	25.069505	29349969	新北市	林口區	文化二路	57	1250	35.2	35.52	19.49	0	3	3	10	電梯大樓	4	27	有
202301	121.4399286	25.1721884	29349967	新北市	淡水區	重建街	57	888	62.5	14.2	14.23	14	1	1	5	公寓	0	38	無
202301	121.45402	25.049148	29349959	新北市	新莊區	幸福路	57	3980	199	20	0	0	1	1	5	公寓	0	42	無
202301	121.476595	25.091066	29345586	新北市	蘆洲區	民族路	58	1688	53.2	31.75	28.07	0			5	公寓	5	36	無
202301	121.5244459	24.9806535	29345573	新北市	新店區	央北二路	58	3636	71.5	50.86	26.13	7.34	14	14	15	電梯大樓	4	0	7.97坪，平面式，已含售金內
202301	121.465364	25.0188809	29345561	新北市	板橋區	文化路	58	14500	125.3	115.7	0	0			4	透天厝	0	45	無
202301	121.4222361	25.0130763	29345557	新北市	樹林區	三俊街	58	2980	113.3	26.3	0	27.64			3	透天厝	0	49	無
202301	121.4514894	25.0539343	29344559	新北市	新莊區	中榮街	58	1550	48.6	31.9	0	0	4	4	8	電梯大樓	3	26	無
